The Ragam,The Song,The Film Name,Video Link
Aarabhi,Aasai Kiliye,Thambikku Entha Ooru,https://www.youtube.com/watch?v=X1knJRVpxpI
Aarabhi,Madhurai Vaazhum,Pudhupatti Ponnuthayee,https://www.youtube.com/watch?v=oaZSG5Adlrw
Aarabhi,Mannavane Mannavane,Thandhuvitten Ennai,https://www.youtube.com/watch?v=n5mt8d-5y3A
Aarabhi,Sandhakavigal Paadidum Manathinil,Metti,https://www.youtube.com/watch?v=IDYAjpR0xQ4
Abheri,Chinnanjiru Vayathil,Meendum Kokila (Uses Ni3),https://www.youtube.com/watch?v=S0RGxaRIDDs&list=RDS0RGxaRIDDs&start_radio=1&pp=ygUoQ2hpbm5hbmppcnUgVmF5YXRoaWwgZnJvbSBNZWVuZHVtIEtva2lsYaAHAQ%3D%3D
Abheri,En Paatu En Paatu,Poomani,https://www.youtube.com/watch?v=8VIGv9ARhAg
Abheri,Ennai Thottu Alli Konda,Unna Ninaichen Paatu Padichen,https://www.youtube.com/watch?v=KiEt9WQdn7A
Abheri,Guruvaayoorappa,Pudhu Pudhu Arthangal (magical prelude & interludes),https://www.youtube.com/watch?v=XLK4B7ryLco
Abheri,Kaalidasan Kannadasan,Soorakottai Singakkutti,https://www.youtube.com/watch?v=c4m7Dyu5xZI
Abheri,Kaiyetha,Vinodhayathra (Malayalam),https://www.youtube.com/watch?v=wJAjpkI3hhw
Abheri,Kuyile Kavikuyile,Kavikuyil,https://www.youtube.com/watch?v=-H_ePQkr7sc
Abheri,Megam Karukkudhu,Anandha Ragam,https://www.youtube.com/watch?v=8KHPLM8Z2_U
Abheri,Muthamizhae Muthamizhae,Raman Abdulla,https://www.youtube.com/watch?v=acOvM6HsMbk
Abheri,Padhmanabha,Manjeera Dhwani (Thillana) (Malayalam),https://www.youtube.com/watch?v=59owoJU4YT8&list=RD59owoJU4YT8&start_radio=1&pp=ygUgUGFkaG1hbmFiaGEgZnJvbSBNYW5qZWVyYSBEaHdhbmmgBwE%3D
Abheri,Poongaaviyam Pesum Oviyam,Karpoora Mullai,https://www.youtube.com/watch?v=Ff9_2ETCB6c
Abheri,Poonguyil Rendum Onnoda Onna,Veetula Visheshanga,https://www.youtube.com/watch?v=xarzK5v03is
Abheri,Poove Poochoodava,Poove Poochoodava,https://www.youtube.com/watch?v=0vJ3W4JUjqg
Abheri,Sindhu Nadhi Karai Oram,Nalladhoru Kudumbam,https://www.youtube.com/watch?v=xTGfjH8TOI0
Abheri,Un Manasula Paatu Thaan,Paandi Naatu Thangam,https://www.youtube.com/watch?v=LA0E47F44gM
Abheri,Varna Vrindaavanum,Kaliyoonjal (Malayalam),https://www.youtube.com/watch?v=LcR1GTfzhaE&list=RDLcR1GTfzhaE&start_radio=1&pp=ygUjVmFybmEgVnJpbmRhYXZhbnVtIGZyb20gS2FsaXlvb25qYWygBwHSBwkJTQoBhyohjO8%3D
Abheri,Velli Kolusu Mani,Pongi Varum Kaaveri,https://www.youtube.com/watch?v=T1Xmpk-GDaY
Abhoghi,Indraikku Yenindha Aanandhame,Vaidhehi Kaathirundhaal,https://www.youtube.com/watch?v=ybWwgk3Nl1Q
Abhoghi,Kalai Nera Poonguyil,Amman Kovil Kizhakaale,https://www.youtube.com/watch?v=HAhSh6_JjFU
Ahirbhairavi,Ezhumalaiyan Magimai,Ezhumalaiyan Magimai,https://www.youtube.com/watch?v=1C4JV1Zo8mk
Amruthavarshini,Ippodhenna Thevai,Makkal Aatchi,https://www.youtube.com/watch?v=95fLscL-IzA
Amruthavarshini,Kathirundha Malli Malli,Mallu Vaetti Minor (Charanam Uses Ri1),https://www.youtube.com/watch?v=cnvfl_TUFMY&list=RDcnvfl_TUFMY&start_radio=1&pp=ygUvS2F0aGlydW5kaGEgTWFsbGkgTWFsbGkgZnJvbSBNYWxsdSBWYWV0dGkgTWlub3KgBwE%3D
Amruthavarshini,Kurisenu Virijallule,Gharshana (Telugu),https://www.youtube.com/watch?v=xsvjRGmvOiY
Amruthavarshini,Mazhaikoru Dhevane,Sri Ragavendra,https://www.youtube.com/watch?v=CQwwbXqmCCc
Amruthavarshini,Thoongatha Vizhigal,Agni Nakshatiram,https://www.youtube.com/watch?v=kQGz8CnySgU
Amruthavarshini,Vanin Devi Varuga,Oruvar Vaazhum Aalayam,https://www.youtube.com/watch?v=JhJp02dzUMA
Anandha Bhairavi,Kala Maadu Onnu (the Nassar + Oorvasi charanam),Magalir Mattum,https://www.youtube.com/watch?v=KQY7vmTklu0&pp=ygUjS2FsYSBNYWFkdSBPbm51IGZyb20gTWFnYWxpciBNYXR0dW0%3D
Anandha Bhairavi,Chittu Pole Muthu Pole,Iniya Uravu Poothadhu,https://www.youtube.com/watch?v=z4gxUqqYFvg
Anandha Bhairavi,Paraparame,Ramana Geetham,https://www.youtube.com/watch?v=eO50HcDqxyo
Anandha Bhairavi,Parthalae Theriyadho,Sri Ragavendra,https://www.youtube.com/watch?v=xdOliMl71qk
Anandha Bhairavi,Thevai Indha Paavai,Andha Oru Nimidam (wizardy style shift in the charanams !),https://www.youtube.com/watch?v=orxMI7o80ng&list=RDorxMI7o80ng&start_radio=1&pp=ygUqVGhldmFpIEluZGhhIFBhYXZhaSBmcm9tIEFuZGhhIE9ydSBOaW1pZGFtoAcB
Andholika,Raman Aandaalum (The Folk Interludes of the Song),Mullum Malarum,https://www.youtube.com/watch?v=k4Szjiw9Ih0&list=RDk4Szjiw9Ih0&start_radio=1&pp=ygUjUmFtYW4gQWFuZGFhbHVtIGZyb20gTXVsbHVtIE1hbGFydW2gBwE%3D
Ataana,Baalakanakamaya,Salangai Oli (its saint thyagaraja's krithi),https://www.youtube.com/watch?v=1mSK9AaVGxg&list=RD1mSK9AaVGxg&start_radio=1&pp=ygUhQmFhbGFrYW5ha2FtYXlhIGZyb20gU2FsYW5nYWkgT2xpoAcB
Bahudhari,Brova Barama,Kavari Maan,https://www.youtube.com/watch?v=qOswh4THW6M
Bahudhari,One and Two Cha Cha Cha,Nalladhoru Kudumbam,https://www.youtube.com/watch?v=u58bDhXZMEU
Behag,Hey Hey Oorayiram,Meendum Kokila,https://www.youtube.com/watch?v=ViqyetbEXG0
Behag,Un Paarvayil Orayiram,Amman Kovil Kizhakale,https://www.youtube.com/watch?v=KADKdykilmY
Bhageshri,Aamani Paadave,Geethanjali (Telugu),https://www.youtube.com/watch?v=vyH7ow2C4Zw
Bhageshri,Eduthu Naan Vidava En Paatai,Pudhu Pudhu Arthangal,https://www.youtube.com/watch?v=eOK6AaXtYlI
Bhageshri,Ingeyum Engeyum,Sathya (By Legendary singer Lata Mangeshkar),https://www.youtube.com/watch?v=csCRkbcL79c
Bhageshri,Kaala Kaala Sangamamo,Ezhumalaiyan Magimai,https://www.youtube.com/watch?v=GaYL7OtM55o
Bhageshri,Kaaviyam Paadava,Idhayathai Thirudaathe,https://www.youtube.com/watch?v=jQmShrpQ3c0
Bhageshri,Mazhai Varudhu Mazhai Varudhu,Raja Kaiyya Vacha (soft stunner in aggressive kanta nadai),https://www.youtube.com/watch?v=Knd4T7xWfZI
Bhageshri,Melatha Mella Thattu,Aruvadai Naal,https://www.youtube.com/watch?v=9LyOED8F030
Bhageshri,Roja Thottam,Alai Osai,https://www.youtube.com/watch?v=WDPxkPmOfZA
Bhageshri,Rokkam Irukkira Makkal Manasula,Kaasi,https://www.youtube.com/watch?v=XE7Xwc5pYd4
Bhageshri,Singalathu Chinnakuyile,Punnagai Mannan (especially the charanams),https://www.youtube.com/watch?v=uXRyvR-j5_s
Bhageshri,Thaen Mozhi Endhan Thaen Mozhi,Solla Thudikkudhu Manasu,https://www.youtube.com/watch?v=DGBEFNPPtI8
Bhageshri,Unnaiyum Ennaiyum Katti Izhukudhadi,Aalappirandhavan,https://www.youtube.com/watch?v=kdVOK7C9PsY
Bhargavi,S G2 M1 P D1 N3 S I S N3 D1 P M1 G2 S,(Keeravani Sans Ri2 !),https://www.youtube.com/watch?v=pDu5JndaFps
Bhargavi,Hey Raasathi Rosapoo,En Uyir Thozhan,https://www.youtube.com/watch?v=xb0FQ18SnP4
Bhavapriya,Anuraaga Yenaithu,Nee Nana Gellalaare (Kannada),https://www.youtube.com/watch?v=RV4OgersBgA
Bhavapriya,Kandupudichen Kandupudichen,Guru Sishyan,https://www.youtube.com/watch?v=p0geCRDoY9k
Bhimpalasi,Vasantha Kala Kolangal,Thyagam (eternal song),https://www.youtube.com/watch?v=l1TM0TDKPoQ
Bilahari,Ennodu Potti Ittu Jeyichavan Yaarumillae,Thalaattu,https://www.youtube.com/watch?v=1ll6jM9UFYg
Bilahari,Neethone Paadenu Sangeetham,Rudraveena (Telugu),https://www.youtube.com/watch?v=dMrB-mlMVcU
Bilahari,Koondalile Megam Vandhu,Balanagamma,https://www.youtube.com/watch?v=tXww7ddvj64
Bilahari,Maaman Veedu,Ellam Inba Mayam,https://www.youtube.com/watch?v=oX__X3ajGfc
Bilahari,Nee Onru Thaana Sangeethama,Unnal Mudiyum Thambi,https://www.youtube.com/watch?v=VDtgtKRz2Zk
Brindhavana Saranga,Aakaashamulo,Swarna Kamalam (Telugu),https://www.youtube.com/watch?v=hgGXkfQMfqU
